,Light ID,%ICAO,I,H,V,C,S
0,1,183.00,268.14,-16.90,-0.13,W,✓
1,1,183.00,1545.25,-13.25,1.33,W,✓
2,1,183.00,2990.04,-6.37,0.98,W,✓
3,1,183.00,5963.92,-2.12,0.92,W,✓
4,1,183.00,6020.64,3.49,1.71,W,✓
5,1,183.00,3083.76,9.64,0.68,W,✓
6,1,183.00,1494.41,13.04,1.56,W,✓
7,1,183.00,317.82,19.76,1.63,W,✓
8,1,183.00,1481.62,-17.81,1.96,W,✓
9,1,183.00,3029.52,-13.99,2.25,W,✓
10,1,183.00,7573.90,-8.28,1.53,W,✓
11,1,183.00,7567.78,-3.07,0.82,W,✓
12,1,183.00,7440.61,3.49,1.13,W,✓
13,1,183.00,7450.32,8.12,1.71,W,✓
14,1,183.00,3083.02,14.39,2.25,W,✓
15,1,183.00,1550.73,17.98,1.40,W,✓
16,1,183.00,3088.09,-18.83,2.33,W,✓
17,1,183.00,7511.02,-13.25,2.74,W,✓
18,1,183.00,10100.60,-7.50,3.20,W,✓
19,1,183.00,9971.29,-3.51,3.87,W,✓
20,1,183.00,9972.50,3.09,2.73,W,✓
21,1,183.00,9936.90,7.87,2.95,W,✓
22,1,183.00,7519.63,12.84,2.47,W,✓
23,1,183.00,2952.78,18.26,2.60,W,✓
24,1,183.00,6089.60,-18.69,5.94,W,✓
25,1,183.00,7596.34,-12.98,5.53,W,✓
26,1,183.00,10044.74,-7.95,6.15,W,✓
27,1,183.00,12108.63,-1.30,5.39,W,✓
28,1,183.00,11974.01,3.16,5.66,W,✓
29,1,183.00,10130.22,9.45,4.80,W,✓
30,1,183.00,7501.05,14.02,5.38,W,✓
31,1,183.00,5943.08,19.87,5.92,W,✓
32,1,183.00,2989.86,-17.70,8.10,W,✓
33,1,183.00,7593.74,-13.07,7.80,W,✓
34,1,183.00,10035.32,-7.94,7.71,W,✓
35,1,183.00,9991.64,-2.63,8.27,W,✓
36,1,183.00,10046.54,2.83,8.78,W,✓
37,1,183.00,9977.19,9.02,7.47,W,✓
38,1,183.00,7570.24,13.99,8.05,W,✓
39,1,183.00,2966.07,18.18,8.31,W,✓
40,1,183.00,1478.54,-16.23,8.47,W,✓
